,state_name,state_initial,state_num,year,poverty_rate,unemploy_rate,justice_rate,violent_rate,property_rate,welfare_povcap,welfare_percap
118,Maine,ME,20,2012,14.7,4.9,0.8338541374030393,0.12284133283222706,2.5126362382685024,15.472176282100596,2.2744099134687876
119,Maryland,MD,21,2012,10.3,5.6,2.346054995488358,0.4765591663790269,2.7523563816631653,16.201444931304327,1.6687488279243456
120,Massachusetts,MA,22,2012,11.9,5.7,1.4219163290437273,0.40451718106169815,2.1475145223514014,20.42224759175868,2.430247463419283
121,Michigan,MI,23,2012,17.4,6.9,2.568806025373984,0.4538884698567112,2.527001473657302,8.603419784538701,1.4969950425097338
122,Minnesota,MN,24,2012,11.4,4.4,2.4635949346088255,0.23098055794293948,2.569484341809564,19.24954144820509,2.19444772509538
123,Mississippi,MS,25,2012,24.2,6.6,2.2194203127806804,0.2609410231730107,2.812036667140333,7.534119268693081,1.8232568630237254
124,Missouri,MO,26,2012,16.2,5.4,1.8492972871672657,0.45075275128490677,3.313045171384811,8.52669061832503,1.3813238801686551
125,Montana,MT,27,2012,15.5,4.6,1.3248067759665187,0.2725688719573852,2.5872125748294206,8.16594693243203,1.2657217745269644
126,Nebraska,NE,28,2012,13.0,3.7,1.2985933762584962,0.2597524527829502,2.758210611001007,8.912324893197962,1.158602236115735
127,Nevada,NV,29,2012,16.4,7.9,1.3050644534467253,0.6108973919787055,2.824712572467307,4.189306042862397,0.687046191029433
128,New Hampshire,NH,30,2012,10.0,4.4,0.8201026708310931,0.1873538775682811,2.3177962773894603,12.553495157948152,1.2553495157948154
129,New Jersey,NJ,31,2012,10.8,6.7,1.8388065834688345,0.2908668027444386,2.0518054273278445,14.586508772366631,1.5753429474155964
130,New Mexico,NM,32,2012,20.8,6.1,1.699075254310694,0.5586139857586969,3.597646539156397,9.001189772610054,1.8722474727028917
131,New York,NY,33,2012,15.9,5.9,1.0792335139160552,0.40673517897063144,1.9217355887201775,16.797916530207196,2.670868728302944
132,North Carolina,NC,34,2012,18.0,6.7,1.6139055688736506,0.353495921216689,3.370376007900322,7.951256958721565,1.4312262525698818
133,North Dakota,ND,35,2012,11.2,2.3,1.2404377788173013,0.24416123769210582,2.0056305406916377,12.159711989979286,1.3618877428776799
134,Ohio,OH,36,2012,16.3,5.7,2.880630005932155,0.29955174175115723,3.116160701738162,10.440491243023507,1.7018000726128315
135,Oklahoma,OK,37,2012,17.2,4.2,1.6663713891276193,0.46878428747773526,3.39746842867969,9.294942612220494,1.5987301293019247
136,Oregon,OR,38,2012,17.2,6.9,1.740008345727534,0.24757623811843082,3.2244926328564674,8.875659044040281,1.526613355574928
137,Pennsylvania,PA,39,2012,13.7,5.6,2.482671907630211,0.3485751443669589,2.16568845059629,12.445936289323667,1.7050932716373421
138,Rhode Island,RI,40,2012,13.7,6.2,2.6125973216918683,0.25136992341324516,2.561773376407259,16.115188355242463,2.2077808046682175
139,South Carolina,SC,41,2012,18.3,6.7,1.5473828273222658,0.5595721669393477,3.8273574550478933,6.830803229923111,1.2500369910759295
140,South Dakota,SD,42,2012,13.4,3.2,1.919838537080447,0.321750167353275,2.0595849638780854,8.623219262853452,1.1555113812223627
